LOCK_VERSION,prescriber_id,created_at,id,SERVICE_EMERGENCY_INTERVENTION → status,SERVICE_EMERGENCY_INTERVENTION → company_id,SERVICE_B2CSDU_ORDER → external_id,SERVICE_B2CSDU_ORDER → id,SERVICE_USER_COMPANY - company_id → id,SERVICE_USER_COMPANY - company_id → name,SERVICE_USER_COMPANY - company_id → siret
"1,761,235,451,397",11,"23 octobre, 2025, 15:58",173196,0,"10,242",,,10242,Speed'Depan,95309822500022
"1,761,235,203,615",11,"23 octobre, 2025, 15:27",173192,0,"11,869",,,11869,CPA,82309010500011
"1,761,234,003,726",8,"23 octobre, 2025, 15:20",173190,0,"8,813",,,8813,HTB,82434780100014
"1,761,234,003,682",26,"23 octobre, 2025, 15:14",173188,0,"9,640",,,9640,TMA Menuiseries ,93004148800014
"1,761,232,803,367",10,"23 octobre, 2025, 14:54",173185,0,"12,313",,,12313,ENTREPRISE BESSE,51532988600029
"1,761,234,003,627",26,"23 octobre, 2025, 14:52",173184,1,"1,578","173,184",11971,1578,Allo Assistance Serrurerie,94848624600010
"1,761,231,603,012",11,"23 octobre, 2025, 14:20",173181,0,"9,636",,,9636,Delaurier Paul,75013462900039
"1,761,228,003,671",11,"23 octobre, 2025, 13:34",173175,0,"9,433",,,9433,KDV Etanchéité,88018422100013
"1,761,228,003,606",4,"23 octobre, 2025, 13:26",173174,0,"12,012",,,12012,Stahl Rénovation,79251244400037
"1,761,225,603,158",11,"23 octobre, 2025, 12:44",173170,0,"11,819",,,11819,SD Rénovation,83409594500012
"1,761,228,003,505",20,"23 octobre, 2025, 12:30",173168,0,"12,012",,,12012,Stahl Rénovation,79251244400037
"1,761,232,803,253",26,"23 octobre, 2025, 12:26",173167,1,"11,754",,,11754,Ramban,91490943700016
"1,761,223,203,244",1,"23 octobre, 2025, 12:14",173164,0,"9,959",,,9959,AMMS,83902699400021
"1,761,223,203,202",10,"23 octobre, 2025, 12:12",173162,0,"12,010",,,12010,Altinelec,93100866800010
"1,761,232,803,191",3,"23 octobre, 2025, 12:06",173161,1,"11,842",,,11842,Les Serruriers de l'Ouest,93397477600017
"1,761,223,203,131",11,"23 octobre, 2025, 11:56",173158,0,"3,034",,,3034,Steeve Tambouret,85186678000014
"1,761,232,803,119",1,"23 octobre, 2025, 11:48",173157,1,"10,099",,,10099,Depan'& moi,93837321400015
"1,761,224,403,291",8,"23 octobre, 2025, 11:40",173156,0,"9,533",,,9533,Atelier AS services,99012084200010
"1,761,234,003,603",11,"23 octobre, 2025, 11:37",173155,1,"11,752",,,11752,Djamel Mouna  ,47765895900036
"1,761,218,402,938",11,"23 octobre, 2025, 11:10",173154,0,"7,378",,,7378,Isotoit SARL,82173907500033
"1,761,220,802,789",8,"23 octobre, 2025, 10:44",173151,0,"3,047",,,3047,Dépan'Express Habitat,39511032300049
"1,761,228,003,355",3,"23 octobre, 2025, 10:42",173150,1,"12,273",,,12273,MARTIN SERRURES 13,84981138500020
"1,761,218,402,809",29,"23 octobre, 2025, 10:32",173147,0,"9,533",,,9533,Atelier AS services,99012084200010
"1,761,234,003,580",3,"23 octobre, 2025, 10:28",173146,1,"11,842",,,11842,Les Serruriers de l'Ouest,93397477600017
"1,761,217,203,799",11,"23 octobre, 2025, 10:27",173145,0,"9,433",,,9433,KDV Etanchéité,88018422100013
"1,761,234,003,561",26,"23 octobre, 2025, 10:24",173144,1,"12,262",,,12262,VVS1,93959486700011
"1,761,216,003,044",11,"23 octobre, 2025, 10:21",173143,0,"11,878",,,11878,Securi'M ,93203510800012
